# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
214.000000	 4931.513547	 4878.625672	 4116.503447	 4135.712424	 4687.784167	 4640.768035	 5383.624868	 5296.140642	 4884.076428	 4801.591751	 5313.567623	 5226.515639	 
214.500000	 4948.659459	 4880.123836	 4107.248498	 4132.270222	 4684.966769	 4642.144588	 5388.315545	 5299.206869	 4883.141628	 4803.779439	 5315.693461	 5229.460170	 
215.000000	 4938.816899	 4881.678301	 4077.627315	 4129.448959	 4680.576041	 4643.292474	 5379.560623	 5301.793224	 4861.740761	 4805.161563	 5305.056443	 5231.818464	 
215.500000	 4915.984904	 4882.446534	 4120.092213	 4128.289194	 4675.870279	 4644.189148	 5382.889797	 5304.326765	 4835.541561	 4805.999790	 5299.795484	 5233.816617	 
216.000000	 4902.034879	 4882.127059	 4190.639214	 4128.811927	 4671.304121	 4644.819283	 5377.185030	 5306.534022	 4819.838562	 4806.419147	 5296.030683	 5235.502454	 
216.500000	 4956.189215	 4881.044912	 4189.829867	 4129.109305	 4666.891080	 4645.195605	 5363.119522	 5308.195220	 4829.611758	 4806.893728	 5284.609331	 5236.668058	 
217.000000	 5003.082780	 4879.370439	 4251.806425	 4128.975824	 4662.711941	 4645.339244	 5348.676685	 5309.338706	 4826.721283	 4807.412836	 5268.101947	 5237.274444	 
217.500000	 5009.268141	 4876.882559	 4218.966330	 4128.933337	 4658.863356	 4645.282759	 5348.310404	 5310.417379	 4808.337895	 4807.438523	 5263.898734	 5237.728683	 
218.000000	 5014.940245	 4873.726653	 4198.104193	 4128.873869	 4655.193403	 4645.100531	 5358.803506	 5311.464512	 4784.648275	 4806.804039	 5271.548617	 5238.302111	 
218.500000	 5003.906030	 4870.402585	 4235.962486	 4128.334181	 4650.893347	 4644.860269	 5355.370416	 5312.404252	 4787.220590	 4805.805693	 5275.694156	 5238.697992	 
219.000000	 4993.589155	 4867.457539	 4265.197045	 4127.250009	 4645.512401	 4644.493313	 5328.064353	 5312.608770	 4793.555797	 4805.022211	 5261.639716	 5238.854673	 
219.500000	 5018.674984	 4865.041010	 4236.364414	 4126.631701	 4638.689757	 4643.990943	 5310.124801	 5312.408217	 4796.048070	 4804.616491	 5245.756456	 5238.675510	 
220.000000	 5012.878084	 4862.762880	 4245.411929	 4126.506879	 4630.747076	 4643.344648	 5308.861435	 5312.200864	 4803.795913	 4804.574442	 5237.174971	 5238.402049	 
220.500000	 5038.179307	 4860.695763	 4276.389601	 4126.265415	 4622.353675	 4642.557678	 5317.479524	 5312.148992	 4822.603305	 4804.675307	 5233.935657	 5238.120361	 
221.000000	 5043.739850	 4858.607983	 4297.281790	 4126.440067	 4614.098555	 4641.651436	 5318.863502	 5312.285607	 4823.044244	 4804.058997	 5230.677122	 5237.784082	 
221.500000	 5008.056986	 4856.626379	 4289.147196	 4127.708663	 4606.357291	 4640.700579	 5304.785470	 5312.081969	 4817.959151	 4802.140681	 5228.817048	 5237.499550	 
222.000000	 4960.003670	 4854.917351	 4229.400403	 4129.655072	 4599.410108	 4639.704637	 5280.711858	 5311.363862	 4803.927199	 4799.558670	 5220.115513	 5237.068270	 
222.500000	 4937.714621	 4853.354736	 4224.704698	 4131.230840	 4592.905566	 4638.647047	 5268.730987	 5310.368185	 4794.136692	 4797.195303	 5212.755010	 5236.522169	 
223.000000	 4892.018584	 4851.978532	 4233.894781	 4132.733071	 4586.883771	 4637.531999	 5277.914261	 5309.664392	 4794.030777	 4795.484657	 5223.986037	 5236.255443	 
223.500000	 4906.880709	 4851.179736	 4238.558966	 4134.303859	 4581.544621	 4636.364486	 5294.812790	 5309.327075	 4791.816771	 4794.330053	 5239.797968	 5236.320533	 
224.000000	 4933.701811	 4851.189749	 4242.691588	 4136.209199	 4577.088369	 4635.154770	 5313.589315	 5309.351105	 4790.618991	 4793.341216	 5256.539292	 5236.706913	 
224.500000	 4956.170581	 4851.653303	 4247.495491	 4138.389707	 4573.326523	 4633.908922	 5335.246674	 5309.778795	 4822.861885	 4792.576132	 5270.545964	 5237.335555	 
225.000000	 4952.371068	 4852.038785	 4203.446105	 4139.600003	 4569.114573	 4632.611934	 5349.326636	 5310.208782	 4831.713303	 4792.505765	 5267.324436	 5237.858750	 
225.500000	 4934.100233	 4851.991425	 4156.590289	 4139.865189	 4563.765207	 4631.246276	 5350.652210	 5310.720193	 4813.262066	 4792.904925	 5256.685923	 5238.145064	 
226.000000	 4940.225430	 4851.705359	 4157.050496	 4139.900808	 4557.330466	 4629.799055	 5339.632041	 5311.074904	 4822.198391	 4793.222055	 5243.560685	 5238.199057	 
226.500000	 4936.466479	 4851.250028	 4163.355346	 4140.259067	 4549.972219	 4628.264502	 5322.363463	 5311.138673	 4840.808934	 4793.888422	 5233.071937	 5238.005822	 
227.000000	 4913.397480	 4850.554575	 4181.996952	 4140.746131	 4544.359963	 4626.675518	 5306.470275	 5310.904452	 4878.227096	 4795.282991	 5221.314423	 5237.642562	 
227.500000	 4893.441358	 4849.809070	 4211.022325	 4141.876070	 4541.030575	 4625.116596	 5284.277716	 5310.302156	 4909.031090	 4797.068586	 5212.254102	 5237.155533	 
228.000000	 4910.974835	 4849.048301	 4241.214668	 4143.517627	 4540.224197	 4623.604292	 5279.546443	 5309.700260	 4921.886617	 4799.107082	 5211.612236	 5236.673622	 
228.500000	 4930.952269	 4847.884116	 4268.782117	 4145.649545	 4542.042485	 4622.180865	 5290.835861	 5309.336423	 4942.846197	 4801.527736	 5214.625768	 5236.275242	 
229.000000	 4930.913729	 4846.693562	 4298.921229	 4148.147096	 4546.061737	 4620.878434	 5291.362406	 5309.030123	 4977.392673	 4804.508498	 5204.599374	 5235.736963	 
229.500000	 4961.931332	 4848.467871	 4318.251070	 4150.744447	 4551.577498	 4619.715817	 5282.612162	 5308.589824	 5010.480014	 4807.941357	 5188.117730	 5234.939746	 
230.000000	 4989.446001	 4850.778988	 4291.543862	 4152.931637	 4558.030765	 4618.699347	 5268.439263	 5307.931618	 5015.249581	 4811.339852	 5172.713025	 5233.917047	 
230.500000	 5003.794697	 4853.153881	 4271.620724	 4154.845977	 4564.581635	 4617.824265	 5262.880553	 5307.093959	 4993.974150	 4814.285567	 5166.391220	 5232.824330	 
231.000000	 4985.880267	 4855.066620	 4259.186960	 4156.414030	 4570.525927	 4617.073498	 5258.354174	 5306.113353	 4961.052534	 4816.615201	 5166.400606	 5231.760032	 
231.500000	 4981.950953	 4857.031640	 4260.690873	 4157.310281	 4575.297070	 4616.420741	 5262.660843	 5305.138428	 4901.221961	 4817.898013	 5169.120213	 5230.779291	 
232.000000	 4980.924367	 4858.873894	 4263.858407	 4157.261426	 4578.840488	 4615.840560	 5267.099006	 5304.241388	 4818.494539	 4817.901919	 5182.302884	 5230.032894	 
232.500000	 4972.649621	 4860.507290	 4193.839725	 4156.747878	 4581.686001	 4615.315589	 5255.375672	 5303.371145	 4754.400624	 4816.862017	 5198.409883	 5229.551518	 
233.000000	 4941.063310	 4861.659170	 4135.512312	 4155.923690	 4584.473471	 4614.835490	 5270.628871	 5302.858237	 4729.498422	 4815.362432	 5218.314291	 5229.379577	 
233.500000	 4920.683452	 4862.344044	 4137.791677	 4155.226854	 4587.789239	 4614.397925	 5299.072910	 5302.735968	 4716.369204	 4813.747648	 5239.704769	 5229.519346	 
234.000000	 4964.218293	 4862.802313	 4120.429885	 4154.722550	 4591.280922	 4614.011833	 5311.687900	 5302.788650	 4717.728045	 4812.341160	 5255.039619	 5229.873228	 
234.500000	 4981.749258	 4863.119330	 4101.318600	 4153.959636	 4593.719168	 4613.668131	 5335.108839	 5303.133936	 4760.096942	 4811.580852	 5274.014320	 5230.466561	 
235.000000	 4963.178306	 4863.695722	 4123.874342	 4153.486487	 4594.306475	 4613.340447	 5349.151238	 5303.720049	 4789.580527	 4811.267494	 5284.945335	 5231.167683	 
235.500000	 4929.883675	 4864.037068	 4168.730128	 4153.613170	 4592.720690	 4613.017541	 5355.012514	 5304.429981	 4816.790158	 4811.344197	 5278.617222	 5231.783743	 
236.000000	 4955.495460	 4864.276712	 4220.078971	 4154.496634	 4589.151701	 4612.671485	 5365.513211	 5305.241663	 4861.058642	 4812.025217	 5273.983484	 5232.343457	 
236.500000	 4969.620670	 4864.705282	 4221.728961	 4155.258547	 4584.933847	 4612.288588	 5354.005458	 5305.821051	 4908.078470	 4813.289330	 5268.058151	 5232.784844	 
237.000000	 4951.711150	 4865.412194	 4201.031044	 4155.845424	 4581.082429	 4611.870909	 5333.942093	 5306.061364	 4948.431556	 4815.091226	 5250.808942	 5233.003034	 
237.500000	 4943.179152	 4866.292353	 4250.233278	 4157.070368	 4577.554274	 4611.419374	 5302.459695	 5305.923692	 4944.473715	 4816.793628	 5231.722519	 5232.966589	 
238.000000	 4971.007345	 4867.605719	 4256.227407	 4158.358122	 4574.520521	 4610.939862	 5273.422507	 5305.420084	 4944.812824	 4818.456214	 5207.182190	 5232.625555	 
238.500000	 5014.517744	 4869.418665	 4258.144699	 4159.350209	 4572.164923	 4610.440016	 5264.146415	 5304.816157	 4929.958673	 4819.862719	 5191.268412	 5232.093136	 
239.000000	 5062.141515	 4871.858195	 4254.056064	 4160.384960	 4570.636307	 4609.931946	 5273.221773	 5304.414878	 4903.572291	 4820.904145	 5188.965284	 5231.547214	 
239.500000	 5055.750995	 4874.110451	 4289.512451	 4161.713496	 4570.153523	 4609.430052	 5315.492414	 5304.492919	 4911.777834	 4822.034825	 5202.601294	 5231.177032	 
240.000000	 5031.342224	 4875.786369	 4317.017121	 4163.525215	 4571.114620	 4608.954124	 5324.289498	 5304.706065	 4946.352369	 4823.369427	 5213.986276	 5230.962861	 
240.500000	 5009.021888	 4877.154253	 4315.794161	 4165.374868	 4574.114791	 4608.528793	 5311.320933	 5304.768825	 4989.497695	 4825.105283	 5209.610380	 5230.702465	 
241.000000	 4977.137557	 4878.084674	 4329.402180	 4167.351101	 4578.967104	 4608.172628	 5311.427886	 5304.678865	 5007.167034	 4827.078467	 5206.487957	 5230.409985	 
241.500000	 4933.003863	 4878.707359	 4290.525146	 4168.766076	 4584.025796	 4607.885165	 5287.169970	 5304.425011	 5007.852315	 4829.062128	 5205.368526	 5230.105546	 
242.000000	 4927.531791	 4879.201194	 4217.558121	 4169.171638	 4588.786179	 4607.659068	 5276.564750	 5304.083631	 4990.267359	 4830.893734	 5211.934740	 5229.881151	 
242.500000	 4962.850223	 4879.576559	 4154.264524	 4168.763147	 4593.529580	 4607.492527	 5282.387808	 5303.830564	 4922.808042	 4831.954707	 5225.119355	 5229.818885	 
243.000000	 4974.824287	 4879.725409	 4190.541762	 4168.286779	 4599.482013	 4607.397777	 5302.039009	 5303.727684	 4856.650415	 4831.909407	 5239.382075	 5229.897937	 
243.500000	 4962.436929	 4879.775131	 4229.239141	 4167.605642	 4606.966805	 4607.389107	 5336.782117	 5303.829469	 4885.883224	 4830.918641	 5255.522339	 5230.117697	 
244.000000	 4965.915828	 4879.989609	 4236.250733	 4166.605547	 4613.898650	 4607.456756	 5344.918920	 5304.212408	 4932.639531	 4829.414778	 5281.198299	 5230.644764	 
244.500000	 4941.412130	 4880.452744	 4221.297639	 4165.302797	 4618.756517	 4607.571965	 5343.610966	 5304.633484	 4972.164301	 4827.548079	 5289.409314	 5231.296038	 
245.000000	 4952.169869	 4880.444987	 4242.219859	 4164.324311	 4623.393819	 4607.729174	 5375.691233	 5305.385696	 4987.169141	 4825.294393	 5300.926495	 5232.058376	 
245.500000	 4963.890569	 4880.173975	 4281.782952	 4163.563841	 4624.513909	 4607.885559	 5393.970416	 5306.332552	 4991.115578	 4822.739850	 5321.593186	 5233.010648	 
246.000000	 4995.608200	 4880.270824	 4351.654543	 4162.280802	 4624.134960	 4608.015742	 5382.007634	 5307.131453	 5007.879603	 4820.228857	 5316.970790	 5233.906105	 
246.500000	 5002.079968	 4880.482136	 4370.757091	 4160.850638	 4620.476490	 4608.094655	 5373.296073	 5307.834014	 5028.882930	 4817.928536	 5315.859114	 5234.762175	 
247.000000	 4981.047019	 4880.842018	 4325.413677	 4160.036290	 4615.342623	 4608.109436	 5353.936457	 5308.318744	 5009.468620	 4816.139427	 5308.351344	 5235.500189	 
247.500000	 5034.983430	 4880.906906	 4250.151717	 4159.553979	 4610.262390	 4608.069682	 5331.819004	 5308.555274	 4964.707895	 4815.341744	 5293.042334	 5236.051834	 
248.000000	 5056.933984	 4880.700262	 4230.899429	 4159.185140	 4606.333691	 4607.995825	 5317.658117	 5308.613838	 4945.991554	 4815.665411	 5277.450595	 5236.418094	 
248.500000	 5066.701844	 4880.356432	 4241.206760	 4159.341020	 4603.776324	 4607.907433	 5312.467816	 5308.609068	 4943.492938	 4816.612878	 5272.976140	 5236.720973	 
249.000000	 5052.646326	 4879.804487	 4256.101438	 4159.915281	 4602.376852	 4607.817208	 5313.247892	 5308.638551	 4950.286482	 4817.766053	 5268.788974	 5236.992436	 
249.500000	 5048.262676	 4879.380109	 4292.078144	 4160.606611	 4601.826685	 4607.732819	 5318.113127	 5308.666295	 4974.596809	 4818.842844	 5272.589623	 5237.323585	 
250.000000	 5044.909005	 4879.230770	 4303.797396	 4161.200727	 4602.208548	 4607.660326	 5312.487642	 5308.701367	 4994.556081	 4819.436065	 5263.226402	 5237.567498	 
