# Reynolds number time series
# <Re(t)> averaged between 100.000000 and 400.000000 with sampling frequency 1.000000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
128.000000	 1520.201972	 1381.908408	 1334.120169	 1152.878677	 1110.776563	 1060.177750	 1611.615144	 1445.642587	 1525.293408	 1316.045579	 1330.864179	 1227.209834	 
129.000000	 1528.746471	 1383.458467	 1346.836840	 1159.068345	 1113.860857	 1061.931070	 1638.219490	 1447.053579	 1566.541781	 1323.890779	 1343.505182	 1230.957647	 
130.000000	 1538.466946	 1385.575024	 1379.931025	 1165.474201	 1119.798666	 1063.784366	 1680.274358	 1448.951736	 1617.507472	 1332.597421	 1318.922880	 1233.624320	 
131.000000	 1548.630650	 1387.902213	 1409.315826	 1171.954748	 1129.556964	 1065.839760	 1712.999389	 1451.881182	 1660.162023	 1341.854108	 1298.673130	 1235.607184	 
132.000000	 1590.295229	 1389.004514	 1441.659845	 1179.645466	 1141.121673	 1068.117916	 1732.849630	 1453.530539	 1679.797654	 1351.335106	 1294.948079	 1237.399595	 
133.000000	 1528.943883	 1389.574250	 1415.596045	 1184.362509	 1151.517976	 1070.550860	 1717.297930	 1455.425068	 1673.340013	 1359.523008	 1300.974825	 1239.250387	 
134.000000	 1478.802306	 1389.906886	 1327.541222	 1188.086348	 1158.252138	 1072.998353	 1645.669378	 1457.997370	 1602.218279	 1365.631666	 1313.100793	 1241.207827	 
135.000000	 1443.235011	 1389.908698	 1326.188186	 1190.970647	 1159.575735	 1075.282800	 1602.339196	 1460.140334	 1539.673433	 1370.290885	 1321.316933	 1243.268932	 
136.000000	 1425.549699	 1389.841439	 1315.147083	 1193.285259	 1155.450039	 1077.241072	 1570.368312	 1462.074522	 1520.221175	 1373.602611	 1322.633258	 1245.260516	 
137.000000	 1465.198850	 1390.868086	 1306.939928	 1194.697032	 1146.745798	 1078.811722	 1581.377375	 1464.207203	 1521.648248	 1374.174310	 1317.808577	 1246.895970	 
138.000000	 1514.417078	 1392.524781	 1370.508286	 1194.497736	 1135.008977	 1079.906910	 1637.828631	 1465.388429	 1548.676230	 1371.640047	 1307.302290	 1248.058525	 
